iter	Passed	Remaining
414	5684	8013
415	5690	7988
416	5693	7960
417	5698	7934
418	5705	7911
419	5710	7886
420	5717	7863
421	5723	7839
422	5728	7814
423	5733	7788
424	5739	7764
425	5745	7741
426	5751	7718
427	5757	7694
428	5764	7672
429	5771	7650
430	5774	7623
431	5781	7601
432	5786	7577
433	5792	7554
434	5799	7532
435	5805	7509
436	5811	7487
437	5816	7463
438	5822	7441
439	5829	7419
440	5835	7397
441	5841	7374
442	5846	7351
443	5854	7331
444	5868	7318
445	5884	7309
446	5891	7288
447	5917	7291
448	5923	7269
449	5930	7248
450	5936	7226
451	5942	7204
452	5947	7182
453	5953	7160
454	5960	7139
455	5967	7118
456	5973	7097
457	5978	7075
458	5983	7052
459	5989	7031
460	5995	7010
461	6000	6988
462	6006	6965
463	6012	6944
464	6018	6924
465	6024	6903
466	6029	6882
467	6035	6860
468	6041	6839
469	6046	6818
470	6052	6797
471	6058	6777
472	6063	6756
473	6069	6735
474	6074	6714
475	6080	6693
476	6086	6673
477	6093	6654
478	6106	6642
479	6117	6627
480	6134	6619
481	6152	6612
482	6161	6595
483	6167	6575
484	6173	6555
485	6179	6535
486	6185	6515
487	6191	6495
488	6196	6475
489	6203	6456
490	6212	6440
491	6218	6420
492	6227	6404
493	6238	6390
494	6250	6376
495	6259	6359
496	6270	6345
497	6280	6331
498	6289	6314
499	6295	6295
500	6302	6277
501	6311	6261
502	6321	6245
503	6351	6251
504	6367	6241
505	6389	6238
506	6421	6244
507	6431	6228
508	6438	6210
509	6451	6198
510	6466	6188
511	6475	6172
512	6499	6170
513	6522	6166
514	6540	6159
515	6549	6143
516	6595	6161
517	6635	6174
518	6657	6169
519	6665	6153
520	6674	6136
521	6681	6118
522	6687	6099
523	6694	6081
524	6703	6065
525	6711	6048
526	6721	6032
527	6729	6016
528	6739	6000
529	6747	5983
530	6755	5966
531	6760	5947
532	6766	5929
533	6773	5910
534	6781	5894
535	6788	5876
536	6795	5858
537	6803	5842
538	6812	5826
539	6818	5808
540	6825	5790
541	6832	5773
542	6841	5757
543	6848	5740
544	6855	5723
545	6865	5708
546	6873	5692
547	6881	5675
548	6887	5658
549	6893	5640
550	6899	5622
551	6905	5604
552	6911	5586
553	6916	5568
554	6922	5550
555	6929	5533
556	6935	5515
557	6941	5498
558	6946	5480
559	6952	5462
560	6958	5445
561	6964	5427
562	6970	5410
563	6976	5393
564	6982	5376
565	6988	5358
566	6994	5341
567	7001	5324
568	7007	5307
569	7012	5290
570	7018	5272
571	7023	5255
572	7029	5238
573	7034	5220
574	7039	5203
575	7045	5186
576	7051	5169
577	7056	5152
578	7062	5135
579	7067	5118
580	7072	5100
581	7078	5083
582	7083	5066
583	7089	5050
584	7094	5032
585	7100	5016
586	7109	5002
587	7116	4986
588	7122	4970
589	7129	4954
590	7135	4938
591	7141	4921
592	7146	4905
593	7154	4890
594	7160	4873
595	7168	4859
596	7198	4859
597	7211	4848
598	7222	4835
599	7233	4822
600	7245	4810
601	7261	4800
602	7272	4788
603	7281	4773
604	7294	4762
605	7301	4747
606	7320	4739
607	7337	4730
608	7352	4720
609	7365	4709
610	7374	4695
611	7382	4680
612	7389	4665
613	7398	4651
614	7410	4638
615	7419	4625
616	7428	4611
617	7445	4602
618	7466	4595
619	7481	4585
620	7495	4574
621	7524	4572
622	7539	4562
623	7546	4546
624	7551	4531
625	7557	4515
626	7563	4499
627	7568	4483
628	7574	4467
629	7579	4451
630	7585	4436
631	7590	4419
632	7595	4403
633	7601	4388
634	7606	4372
635	7612	4356
636	7617	4340
637	7624	4325
638	7629	4310
639	7635	4295
640	7642	4280
641	7648	4264
642	7653	4249
643	7659	4234
644	7662	4217
645	7668	4202
646	7675	4187
647	7681	4172
648	7687	4157
649	7693	4142
650	7699	4127
651	7705	4113
652	7712	4098
653	7716	4082
654	7721	4067
655	7728	4052
656	7735	4038
657	7740	4023
658	7746	4008
659	7752	3993
660	7757	3978
661	7763	3963
662	7770	3949
663	7773	3933
664	7778	3918
665	7784	3903
666	7789	3888
667	7795	3874
668	7801	3859
669	7811	3847
670	7816	3832
671	7821	3817
672	7827	3803
673	7833	3788
674	7839	3774
675	7844	3759
676	7850	3745
677	7855	3730
678	7862	3717
679	7867	3702
680	7874	3688
681	7881	3674
682	7891	3662
683	7900	3649
684	7911	3638
685	7921	3625
686	7936	3615
687	7947	3604
688	7967	3596
689	7979	3585
690	7988	3572
691	8001	3561
692	8014	3550
693	8021	3536
694	8033	3525
695	8038	3511
696	8045	3497
697	8051	3483
698	8057	3469
699	8064	3456
700	8075	3444
701	8084	3431
702	8091	3418
703	8098	3404
704	8103	3391
705	8111	3377
706	8117	3363
707	8125	3351
708	8131	3337
709	8137	3323
710	8143	3310
711	8151	3297
712	8159	3284
713	8165	3270
714	8172	3257
715	8179	3244
716	8185	3230
717	8190	3216
718	8197	3203
719	8202	3189
720	8207	3175
721	8213	3162
722	8219	3149
723	8225	3135
724	8231	3122
725	8237	3108
726	8243	3095
727	8249	3082
728	8255	3068
729	8260	3055
730	8266	3041
731	8271	3028
732	8277	3015
733	8283	3002
734	8290	2988
735	8295	2975
736	8300	2961
737	8305	2948
738	8311	2935
739	8317	2922
740	8322	2909
741	8332	2897
742	8348	2887
743	8356	2875
744	8364	2863
745	8374	2851
746	8383	2839
747	8392	2827
748	8401	2815
749	8416	2805
750	8433	2796
751	8454	2788
752	8468	2777
753	8481	2767
754	8490	2755
755	8510	2746
756	8518	2734
757	8526	2722
758	8531	2709
759	8537	2696
760	8545	2683
761	8550	2670
762	8563	2659
763	8573	2648
764	8586	2637
765	8603	2628
766	8618	2618
767	8624	2605
768	8634	2593
769	8641	2581
770	8650	2569
771	8657	2556
772	8663	2544
773	8670	2531
774	8677	2519
775	8687	2507
776	8698	2496
777	8711	2485
778	8721	2474
779	8735	2463
780	8746	2452
781	8753	2440
782	8767	2429
783	8774	2417
784	8780	2404
785	8787	2392
786	8792	2379
787	8800	2367
788	8807	2355
789	8815	2343
790	8821	2330
791	8833	2319
792	8842	2308
793	8849	2295
794	8855	2283
795	8865	2272
796	8875	2260
797	8884	2248
798	8892	2236
799	8900	2225
800	8909	2213
801	8917	2201
802	8925	2189
803	8933	2177
804	8938	2165
805	8944	2152
806	8953	2141
807	8960	2129
808	8966	2116
809	8973	2104
810	8979	2092
811	8986	2080
812	8993	2068
813	8999	2056
814	9006	2044
815	9015	2032
816	9022	2020
817	9033	2009
818	9060	2002
819	9091	1995
820	9108	1985
821	9117	1974
822	9126	1962
823	9138	1951
824	9143	1939
825	9148	1927
826	9155	1915
827	9160	1902
828	9165	1890
829	9170	1878
830	9175	1866
831	9180	1853
832	9187	1841
833	9193	1829
834	9198	1817
835	9204	1805
836	9210	1793
837	9218	1782
838	9227	1770
839	9233	1758
840	9245	1747
841	9253	1736
842	9259	1724
843	9266	1712
844	9272	1700
845	9279	1689
846	9286	1677
847	9292	1665
848	9298	1653
849	9304	1641
850	9312	1630
851	9319	1618
852	9328	1607
853	9335	1596
854	9340	1584
855	9347	1572
856	9353	1560
857	9358	1548
858	9363	1537
859	9369	1525
860	9375	1513
861	9381	1501
862	9386	1490
863	9393	1478
864	9397	1466
865	9403	1454
866	9411	1443
867	9417	1432
868	9423	1420
869	9427	1408
870	9433	1397
871	9439	1385
872	9446	1374
873	9451	1362
874	9456	1350
875	9461	1339
876	9466	1327
877	9472	1316
878	9477	1304
879	9483	1293
880	9488	1281
881	9493	1270
882	9499	1258
883	9505	1247
884	9511	1235
885	9516	1224
886	9524	1213
887	9530	1202
888	9537	1190
889	9542	1179
890	9548	1168
891	9553	1156
892	9558	1145
893	9564	1133
894	9569	1122
895	9574	1111
896	9579	1100
897	9585	1088
898	9590	1077
899	9595	1066
900	9600	1054
901	9605	1043
902	9611	1032
903	9616	1021
904	9621	1009
905	9626	998
906	9631	987
907	9636	976
908	9641	965
909	9647	954
910	9652	942
911	9657	931
912	9662	920
913	9667	909
914	9672	898
915	9677	887
916	9682	876
917	9688	865
918	9693	854
919	9699	843
920	9705	832
921	9710	821
922	9715	810
923	9720	799
924	9726	788
925	9731	777
926	9737	766
927	9741	755
928	9746	744
929	9751	733
930	9755	723
931	9762	712
932	9767	701
933	9772	690
934	9776	679
935	9781	668
936	9786	658
937	9791	647
938	9796	636
939	9801	625
940	9806	614
941	9811	604
942	9815	593
943	9820	582
944	9826	571
945	9831	561
946	9837	550
947	9852	540
948	9858	529
949	9863	519
950	9868	508
951	9874	497
952	9879	487
953	9884	476
954	9889	465
955	9894	455
956	9899	444
957	9904	434
958	9909	423
959	9914	413
960	9919	402
961	9924	392
962	9929	381
963	9934	370
964	9938	360
965	9943	349
966	9947	339
967	9953	329
968	9958	318
969	9962	308
970	9967	297
971	9972	287
972	9976	276
973	9981	266
974	10014	256
975	10019	246
976	10025	236
977	10036	225
978	10041	215
979	10046	205
980	10052	194
981	10056	184
982	10061	174
983	10067	163
984	10077	153
985	10083	143
