iter	Logloss
0	0.6852290157
1	0.6788638158
2	0.6713033459
3	0.6649029239
4	0.6579446387
5	0.651747674
6	0.646087735
7	0.6395202876
8	0.6328488784
9	0.62669651
10	0.6206654052
11	0.6146016371
12	0.609042145
13	0.6034775952
14	0.5993430637
15	0.5943944733
16	0.5888042724
17	0.5833567623
18	0.5786694951
19	0.5734312725
20	0.5684556936
21	0.563805228
22	0.5595961881
23	0.5554162677
24	0.5503910092
25	0.5462628096
26	0.5416227687
27	0.537360178
28	0.5325202771
29	0.5295415997
30	0.5252230566
31	0.5211189428
32	0.5167247659
33	0.5123504756
34	0.5079329508
35	0.5042618755
36	0.5022007255
37	0.498895098
38	0.4962636637
39	0.4929687604
40	0.4900668571
41	0.486771088
42	0.4828870032
43	0.4792155092
44	0.475877295
45	0.4728869689
46	0.4705319516
47	0.4673928601
48	0.464200538
49	0.4619928125
50	0.4591247983
51	0.4564539991
52	0.4544548076
53	0.4514878215
54	0.4486108168
55	0.4460573983
56	0.4436680965
57	0.4413426074
58	0.4391577646
59	0.4362770704
60	0.4339698241
61	0.4316169704
62	0.4293075306
63	0.4271237747
64	0.4243445312
65	0.421760613
66	0.4196967653
67	0.4172996305
68	0.4148016288
69	0.4124458654
70	0.4106613208
71	0.4088421891
72	0.4072700212
73	0.4054508015
74	0.4028957847
75	0.40075394
76	0.3986858171
77	0.3969007968
78	0.3955703131
79	0.3941595777
80	0.3916592596
81	0.3899373155
82	0.3883872042
83	0.386560527
84	0.3848725539
85	0.3829648834
86	0.3809342091
87	0.3789675872
88	0.3772971454
89	0.3756923535
90	0.3741583644
91	0.3726905235
92	0.370756072
93	0.3693203637
94	0.3676434693
95	0.3662400989
96	0.3646898968
97	0.3632145597
98	0.3622739877
99	0.3604643983
100	0.3588543473
101	0.3574999373
102	0.3562398707
103	0.3548344956
104	0.3538306925
105	0.3521929723
106	0.350927574
107	0.3498301733
108	0.3488220286
109	0.3472593888
110	0.3460514614
111	0.344888432
112	0.344657218
113	0.3436254257
114	0.3421881992
115	0.341592898
116	0.3406715509
117	0.339575933
118	0.3385646484
119	0.3372480607
120	0.3358429736
121	0.3346599427
122	0.3336582188
123	0.33249365
124	0.3311044934
125	0.3297180222
126	0.3286638324
127	0.3276277657
128	0.3265694
129	0.325376791
130	0.3240448259
131	0.3230868355
132	0.3223538426
133	0.3213210877
134	0.3203065286
135	0.319457981
136	0.3187013321
137	0.3183927772
138	0.3174187472
139	0.3163755454
140	0.315530853
141	0.3143703
142	0.3132857663
143	0.3121128363
144	0.3110632392
145	0.310131393
146	0.3093988984
147	0.308488469
148	0.3078026893
149	0.3066660248
150	0.305946192
151	0.3048525898
152	0.3038180903
153	0.3028055677
154	0.301903473
155	0.3011419734
156	0.3001959196
157	0.2992923584
158	0.2986082483
159	0.2976986996
160	0.2968881531
161	0.2964920248
162	0.2955598176
163	0.2949893125
164	0.2944415913
165	0.2935954917
166	0.2927552984
167	0.2921071962
168	0.2914628057
169	0.2906830158
170	0.290089944
171	0.2892723592
172	0.2882909552
173	0.2875883385
174	0.2866838363
175	0.2859880222
176	0.2853199994
177	0.2847504827
178	0.2841225001
179	0.2834088414
180	0.2829008503
181	0.2822315449
182	0.2815544527
183	0.280967367
184	0.2802190607
185	0.2795367257
186	0.2787973009
187	0.2783553559
188	0.2777562964
189	0.2770326633
190	0.2764063291
191	0.2757777573
192	0.2750029481
193	0.2742255366
194	0.2737363546
195	0.2731537455
196	0.272774229
197	0.2719380157
198	0.2715384551
199	0.2710382521
200	0.2704547022
201	0.2699350848
202	0.2696319407
203	0.2689904948
204	0.2683662996
205	0.2679537553
206	0.2675690407
207	0.2670808851
208	0.2665607657
209	0.2663200761
210	0.2657903067
211	0.2654330532
212	0.2648384662
213	0.2643933689
214	0.2637182666
215	0.2633920327
216	0.2627918456
217	0.261957112
218	0.2616473356
219	0.2612547098
220	0.26074159
221	0.260406257
222	0.2598135637
223	0.259267217
224	0.2589820035
225	0.2584302339
226	0.2579660845
227	0.2573749246
228	0.2568718937
229	0.2564667308
230	0.2559087471
231	0.2553278549
232	0.2548509718
233	0.2542635432
234	0.2538629314
235	0.253476347
236	0.2530812436
237	0.2524918307
238	0.252370643
239	0.2516703168
240	0.2511932135
241	0.2508317019
242	0.2502395784
243	0.2499907389
244	0.2494484019
245	0.2490169957
246	0.2484810637
247	0.2480672509
248	0.2475729282
249	0.2471073703
250	0.2467703869
251	0.2464335233
252	0.2460593847
253	0.2454962916
254	0.2450531355
255	0.2447467276
256	0.2443883444
257	0.244188786
258	0.243706197
259	0.2434513966
260	0.2429027458
261	0.2424280082
262	0.2420486887
263	0.2415963744
264	0.241203887
265	0.2409006607
266	0.2404135972
267	0.239878714
268	0.2395472903
269	0.2392780363
270	0.2387617899
271	0.238349015
272	0.2380521326
273	0.2376180645
274	0.2372547146
275	0.236907697
276	0.2364711848
277	0.2362268231
278	0.2357807978
279	0.2354365003
280	0.2350328535
281	0.2348926543
282	0.2345716139
283	0.2342794239
284	0.2338421076
285	0.2337605714
286	0.233439605
287	0.2330725094
288	0.2327394258
289	0.2323643508
290	0.2321441756
291	0.2318474817
292	0.2314979166
293	0.2311483392
294	0.2308562009
295	0.2305429378
296	0.2300972063
297	0.229690541
298	0.229465704
299	0.2293488847
300	0.2289191309
301	0.2284264668
302	0.2282385698
303	0.2277064741
304	0.2272653071
305	0.2270144796
306	0.2267889142
307	0.2265302705
308	0.2261469455
309	0.2258016778
310	0.2254845088
311	0.224963258
312	0.2248483646
313	0.2245999068
314	0.2242619103
315	0.2238349869
316	0.2235979125
317	0.2233307238
318	0.2228927385
319	0.2226209178
320	0.2222212022
321	0.221910099
322	0.2216906552
323	0.221235179
324	0.220707738
325	0.220476115
326	0.2201671171
327	0.2198675737
328	0.219532765
329	0.2193895857
330	0.2190729638
331	0.2190251553
332	0.2188016744
333	0.2184297245
334	0.2182437981
335	0.2181949359
336	0.2178289399
337	0.2175272503
338	0.2174182236
339	0.2170880291
340	0.2166609797
341	0.2163822469
342	0.2160268528
343	0.215717338
344	0.2154495448
345	0.214943497
346	0.2144573516
347	0.2140324388
348	0.2137257288
349	0.2134596541
350	0.2132648748
351	0.2130300114
352	0.2128419116
353	0.2124584886
354	0.2121603303
355	0.2118789592
356	0.2116544011
357	0.2115495573
358	0.2114034538
359	0.2111583492
360	0.2108239702
361	0.2107928969
362	0.2105502355
363	0.2102626304
364	0.2098707483
365	0.2098135762
366	0.2093752348
367	0.209001035
368	0.2087966854
369	0.2085054123
370	0.2083057709
371	0.2081281391
372	0.2079076143
373	0.2075259256
374	0.2072336384
375	0.207132506
376	0.2069894821
377	0.2067842488
378	0.206526158
379	0.2063142774
380	0.2058711428
381	0.2055848955
382	0.2053534014
383	0.2049765467
384	0.2047429155
385	0.2046467481
386	0.2044602771
387	0.2041979076
388	0.203847388
389	0.2035558145
390	0.2031103999
391	0.2029118273
392	0.2026125781
393	0.2021870948
394	0.2020079284
395	0.2017053198
396	0.2013688678
397	0.2011635758
398	0.2009241234
399	0.2007832895
400	0.2005120361
401	0.2002785503
402	0.2000461385
403	0.1998815454
404	0.1997231536
405	0.1995264397
406	0.1992579556
407	0.198934529
408	0.1986643545
409	0.1984879148
410	0.1983734041
411	0.198259309
412	0.1981331505
413	0.1979622415
414	0.1977943048
415	0.1976828009
416	0.1976360039
417	0.1973537196
418	0.1972614252
419	0.1969525475
420	0.1967613449
421	0.1966365148
422	0.1964614069
423	0.1964486112
424	0.1962177882
425	0.1961268713
426	0.195983164
427	0.1956925938
428	0.1955135736
429	0.1951933903
430	0.195181126
431	0.1949899982
432	0.1947271299
433	0.1944557075
434	0.1944199745
435	0.1940136981
436	0.1939552095
437	0.193862994
438	0.1936458194
439	0.1933822119
440	0.1932853396
441	0.1930618832
442	0.1928612455
443	0.1925607562
444	0.1921030227
445	0.1918746057
446	0.1916683898
447	0.1914606536
448	0.1913388577
449	0.1911471828
450	0.190923659
451	0.1907464437
452	0.1904721777
453	0.1902848059
454	0.1900126612
455	0.1898816768
456	0.1897381517
457	0.1896024308
458	0.1894417045
459	0.1891652922
460	0.1890602418
461	0.1889790898
462	0.1889082621
463	0.1887110309
464	0.1885081763
465	0.1883746136
466	0.1881991424
467	0.1878819681
468	0.1875274239
469	0.1873890106
470	0.1871665012
471	0.1868303764
472	0.1865224388
473	0.1862507738
474	0.1860777357
475	0.1858382708
476	0.185541498
477	0.1852848579
478	0.1851229407
479	0.1848373616
480	0.1847017667
481	0.1845076997
482	0.1843126552
483	0.1839603969
484	0.1838267883
485	0.1837551747
486	0.1834442673
487	0.1831352909
488	0.1830049664
489	0.1827374843
490	0.1825019656
491	0.1823414248
492	0.1820560039
493	0.1819074757
494	0.1817422525
495	0.1815172382
496	0.1813909598
497	0.1812376964
498	0.1810737933
499	0.1807657569
500	0.1805553684
501	0.1803630514
502	0.180200228
503	0.1799878144
504	0.1797243074
505	0.179589355
506	0.1794271506
507	0.1792192546
508	0.1790772443
509	0.1788949487
510	0.1787660002
511	0.1784758692
512	0.1783726137
513	0.1781181727
514	0.177960107
515	0.1778535711
516	0.1776632651
517	0.1774943065
518	0.1772704918
519	0.1771078122
520	0.1769512662
521	0.1768428395
522	0.1766580651
523	0.1764738998
524	0.1761868599
525	0.1760486354
526	0.1759169011
527	0.1757562586
528	0.1755831254
529	0.1753152132
530	0.1751957506
531	0.1751623083
532	0.1748785865
533	0.1746838097
534	0.1745839164
535	0.1744085466
536	0.174339687
537	0.1740541177
538	0.1738614371
539	0.1737926114
540	0.1735964528
541	0.1735209167
542	0.1733722592
543	0.1730851834
544	0.1728463037
545	0.1724516821
546	0.1722841275
547	0.1720584406
548	0.1718566657
549	0.1716863708
550	0.1715220136
551	0.1713866477
552	0.1712845785
553	0.1711243344
554	0.1708180173
555	0.1706185812
556	0.1704392826
557	0.1702690905
558	0.1699803322
559	0.1698524051
560	0.1696894818
561	0.1695053838
562	0.1693032486
563	0.1691968672
564	0.1691337789
565	0.168911098
566	0.1686571855
567	0.1685429863
568	0.1684164617
569	0.1683850557
570	0.1682776161
571	0.1681537306
572	0.1681354505
573	0.1680337387
574	0.1678623318
575	0.1678086385
576	0.1676227798
577	0.1674440304
578	0.1673566039
579	0.1672609935
580	0.1671884494
581	0.1670276503
582	0.166861537
583	0.166741484
584	0.1667091859
585	0.1664714297
586	0.1662469902
587	0.1660421696
588	0.1658529037
589	0.165698758
590	0.1655929134
591	0.1655129672
592	0.1653622713
593	0.1651738917
594	0.1650606119
595	0.1649453487
596	0.1648750214
597	0.1645825884
598	0.1644284205
599	0.1642198877
600	0.1640293912
601	0.1637929982
602	0.1637632429
603	0.1636907121
604	0.1634367954
605	0.1631589456
606	0.1629141584
607	0.1627779598
608	0.162666439
609	0.1624878709
610	0.1624098237
611	0.1622029388
612	0.1618894345
613	0.1615579893
614	0.1614499695
615	0.1612874263
616	0.1610905657
617	0.1610009369
618	0.1608924862
619	0.1608175963
620	0.1606129716
621	0.1605184161
622	0.1604076068
623	0.1601714022
624	0.1600879453
625	0.1599572957
626	0.1596988173
627	0.1594207622
628	0.1592224012
629	0.1591359974
630	0.1588769343
631	0.158812951
632	0.1585071719
633	0.1582960814
634	0.1581095616
635	0.1579545073
636	0.1578695262
637	0.1576311869
638	0.1574077379
639	0.1573208234
640	0.157112298
641	0.1569728955
642	0.1567649222
643	0.1566423531
644	0.1566215363
645	0.1564886595
646	0.1562901783
647	0.1561736453
648	0.1558816958
649	0.1558134758
650	0.1556785462
651	0.1555497774
652	0.1553869359
653	0.1553589971
654	0.155312789
655	0.155128753
656	0.1550140901
657	0.1548356196
658	0.1546487808
659	0.1544180028
660	0.154188471
661	0.1539871788
662	0.1538499125
663	0.1538449701
664	0.1536600553
665	0.1535059249
666	0.1532990978
667	0.1531358079
668	0.1529249765
669	0.1528526307
670	0.1527561637
671	0.1525522543
672	0.1523586315
673	0.1522112347
674	0.1520840196
675	0.1519827909
676	0.1519217809
677	0.1518407178
678	0.1517908482
679	0.151645534
680	0.1514759543
681	0.151435369
682	0.1513286352
683	0.1513058974
684	0.1511798421
685	0.1510792444
686	0.1509478997
687	0.1506977069
688	0.1505805512
689	0.1503844063
690	0.1502908375
691	0.1502034462
692	0.1501427672
693	0.1499768283
694	0.1499282099
695	0.1497614818
696	0.1496473611
697	0.1494945649
698	0.1493579337
699	0.1490603927
700	0.1489321409
701	0.1488125254
702	0.1486809518
703	0.1486112257
704	0.1484583602
705	0.1482618107
706	0.1481580466
707	0.1480313459
708	0.1477818423
709	0.1476010326
710	0.1473598067
711	0.1471926013
712	0.1471139426
713	0.1469059131
714	0.1468233331
715	0.1467199462
716	0.1466668776
717	0.146593191
718	0.1464642623
719	0.1462974982
720	0.1460895881
